code,name,mainFoodType,detailedFoodType,calorie,protein,fat,carbohydrate,taste,mainIngredient,secondaryIngredient,cookMethod
D018025,돼지갈비구이,구이류,육류구이,881.09,84.72,55.61,10.43,단맛,가금류 이외 육류,마늘,굽기
D018026,돼지고기산적,구이류,육류구이,339.25,49.41,14.56,2.64,담백한맛,가금류 이외 육류,파,굽기
D018027,돼지불고기,구이류,육류구이,449.57,29.71,33.15,8.1,매운맛,가금류 이외 육류,마늘,굽기
D018028,등심스테이크,구이류,육류구이,388,60.44,16.13,0.28,담백한맛,가금류 이외 육류,버터,굽기
D018029,런천미트구이,구이류,육류구이,484.35,28.09,39.01,5.23,담백한맛,가금류 이외 육류,양파,굽기
D018030,뱅어포구이,구이류,어패류구이,262,24.06,10.62,17.55,담백한맛,해산물,소금,굽기
D018031,버섯구이,구이류,채소류구이,41.71,4.13,1.1,3.82,담백한맛,버섯류,양파,굽기
D018032,삼겹살고추장구이,구이류,육류구이,805.66,28.42,65.66,25.25,매운맛,가금류 이외 육류,마늘,굽기
D018033,삼겹살구이,구이류,육류구이,933.52,45.11,83.37,0.69,담백한맛,가금류 이외 육류,마늘,굽기
D018034,삼치구이,구이류,어패류구이,355.16,42.83,19.14,2.89,담백한맛,해산물,마늘,굽기
D018035,새송이버섯구이,구이류,채소류구이,66.92,3.43,1.77,9.33,담백한맛,버섯류,마늘,굽기
D018036,새우구이,구이류,어패류구이,260.76,42.13,7.99,5.07,담백한맛,해산물,마늘,굽기
D018037,쇠갈비구이,구이류,육류구이,722.95,77.73,43.66,4.76,담백한맛,가금류 이외 육류,마늘,굽기
D018038,쇠곱창구이,구이류,육류구이,275.96,22.33,17.59,7.07,매운맛,가금류 이외 육류,마늘,굽기
D018039,쇠불고기,구이류,육류구이,339.22,32.82,19.32,8.51,단맛,가금류 이외 육류,파,굽기
D018040,안심스테이크,구이류,육류구이,366.42,69.63,9.65,0.25,담백한맛,가금류 이외 육류,버터,굽기
D018041,오리고기구이,구이류,육류구이,586.08,48.12,39.39,9.77,담백한맛,가금류 이외 육류,마늘,굽기
D018042,오리불고기,구이류,육류구이,361.52,16.87,22.62,22.62,매운맛,가금류,마늘,굽기
D018043,장어고추장구이,구이류,육류구이,258.89,19.82,17.21,6.18,매운맛,해산물,파,굽기
D018044,조기구이,구이류,어패류구이,318.2,34.8,19.54,0.79,담백한맛,해산물,소금,굽기
D018045,조미김,구이류,어패류구이,23.5,1.02,1.51,1.45,짠맛,해산물,소금,굽기
D018046,쥐포구이,구이류,어패류구이,238.58,21.67,0.25,37.42,담백한맛,해산물,간장,굽기
D018047,참치머리구이,구이류,어패류구이,346.8,47.81,16.16,2.52,담백한맛,해산물,마늘,굽기
D018048,치킨데리야끼,구이류,육류구이,707.64,56.23,30.65,51.71,단맛,커피,감귤,굽기
D018049,키조개구이,구이류,어패류구이,234.13,31.38,3.72,18.79,담백한맛,해산물,마늘,굽기
D018050,표고버섯구이,구이류,채소류구이,79.6,3.47,0.85,14.51,담백한맛,버섯류,소금,굽기
D018051,함박스테이크,구이류,육류구이,347.37,24.2,21.45,14.38,담백한맛,가금류 이외 육류,양파,굽기
D018052,햄구이,구이류,육류구이,577.05,26.02,51.39,2.61,담백한맛,가금류 이외 육류,양파,굽기
D018830,치킨바베큐,구이류,육류구이,108,11,4.1,7,단맛,커피,양파,굽기
D018841,블랙라벨 스테이크,구이류,육류구이,154,9,10,7,담백한맛,가금류 이외 육류,버터,굽기
D018848,소고기 찹스테이크,구이류,육류구이,124,9,8,4,담백한맛,가금류 이외 육류,양파,굽기
D018853,레드 칠리 스테이크,구이류,육류구이,179,11,11,9,매운맛,가금류 이외 육류,양파,굽기
D018858,피에스타 스테이크,구이류,육류구이,113,12,5,5,담백한맛,가금류 이외 육류,양파,굽기
D018862,더블 체다 함박 스테이크,구이류,육류구이,143,12,7,8,담백한맛,가금류 이외 육류,양파,굽기
D018872,블랙라벨 파히타,구이류,육류구이,133,8,5,14,매운맛,커피,양파,굽기
D018881,그레이프 소스 스테이크,구이류,육류구이,142,10,10,3,단맛,가금류 이외 육류,양파,굽기
D018914,<피코크>레드와인소스스테이크,구이류,육류구이,128,9,8,5,담백한맛,가금류 이외 육류,양파,굽기
D018918,<아내의 식탁>스노윙찹스테이크,구이류,육류구이,167,10,11,7,담백한맛,가금류 이외 육류,버터,굽기
D018922,<파빌리온>양갈비 스테이크,구이류,육류구이,177,10,13,5,담백한맛,가금류 이외 육류,양파,굽기
D000006,꿩불고기,구이류,육류구이,368.8,33.5,8.5,39.7,매운맛,커피,마늘,굽기
D000007,닭갈비,구이류,육류구이,595.61,45.9,25.8,44.9,매운맛,커피,양파,볶기
D000008,닭갈비,구이류,육류구이,558.47,45.5,31.6,23.1,매운맛,커피,양파,볶기
D000009,닭꼬치,구이류,육류구이,176.72,11.56,8.57,13.35,매운맛,커피,양파,굽기
D000010,더덕구이,구이류,채소류구이,184,3.1,5.2,31.1,담백한맛,나물류,간장,굽기
D000012,돼지갈비,구이류,육류구이,240.32,19.5,14.4,8.1,매운맛,가금류 이외 육류,마늘,굽기
D000016,불고기,구이류,육류구이,395.29,34.4,25.2,7.8,단맛,가금류 이외 육류,양파,굽기
D000017,붕장어소금구이,구이류,어패류구이,296.54,26,16.2,11.6,담백한맛,해산물,마늘,굽기
D000020,소양념갈비구이,구이류,육류구이,989.15,60.1,71.6,26.2,단맛,가금류 이외 육류,마늘,굽기
D000021,양념왕갈비,구이류,육류구이,480.81,27.1,35.3,13.7,매운맛,가금류 이외 육류,마늘,굽기
D000022,양념장어구이,구이류,어패류구이,433.35,30.77,30.56,8.8,매운맛,해산물,고추장,굽기
D000023,임연수구이,구이류,어패류구이,494,53.8,29.4,3.5,담백한맛,해산물,마늘,굽기
D000025,햄버그스테이크,구이류,육류구이,457.7,26.96,29.65,20.76,담백한맛,가금류 이외 육류,양파,굽기
D000026,황태구이,구이류,어패류구이,437.57,47.8,15.4,26.9,담백한맛,해산물,마늘,굽기
D000027,훈제오리,구이류,육류구이,797.14,43.06,64.07,12.08,담백한맛,가금류,마늘,훈제
D018574,함박스테이크 & 토마토카레소스,구이류,육류구이,84.01,6.2,2.27,9.69,단맛,가금류 이외 육류,버터,굽기
D018575,퓨전떡갈비,구이류,육류구이,195.85,12.58,5.18,24.74,단맛,가금류 이외 육류,파프리카,굽기`
D018576,참치 두부 함박스테이크,구이류,기타 구이류,240.88,8.89,11.29,25.92,담백한맛,두부,양파,굽기
D018585,두부구이 & 버섯소스,구이류,채소류구이,91.12,7.02,5.74,2.85,담백한맛,두부,버터,굽기
D018109,갓김치,김치류,김치,16.53,1.03,0.54,1.88,매운맛,채소류,마늘,무치기
D018110,고들빼기김치,김치류,김치,35.27,1.5,0.69,5.76,매운맛,나물류,마늘,무치기
D018111,깍두기,김치류,김치,16.4,0.78,0.53,2.12,매운맛,채소류,마늘,무치기
D018112,깻잎김치,김치류,김치,31.15,1.41,0.86,4.46,매운맛,채소류,소금,무치기
D018113,나박김치,김치류,김치,9.82,0.46,0.38,1.15,신맛,채소류,무,무치기
D018114,돌나물물김치,김치류,김치,19.78,1.25,0.31,3,신맛,나물류,마늘,무치기
D018115,동치미,김치류,김치,27.21,0.58,0.74,4.55,신맛,채소류,무,무치기
D018116,배추김치,김치류,김치,10.66,0.68,0.31,1.27,매운맛,채소류,마늘,무치기
D018117,백김치,김치류,김치,16.56,0.92,0.51,2.06,신맛,채소류,마늘,무치기
D018118,보쌈김치,김치류,김치,27.21,1.97,0.65,3.36,매운맛,채소류,마늘,무치기
D018119,부추김치,김치류,김치,23.33,1.34,0.58,3.18,매운맛,채소류,마늘,무치기
D018120,얼갈이배추김치,김치류,김치,50.46,1.27,1.16,8.75,매운맛,채소류,통마늘,무치기
D018121,열무김치,김치류,김치,10.71,0.72,0.49,0.86,매운맛,채소류,설탕,무치기
D018122,오이김치,김치류,김치,26.54,1.44,0.56,3.95,매운맛,채소류,마늘,무치기
D018123,오이소박이,김치류,김치,32.38,1.73,0.86,4.43,신맛,채소류,마늘,무치기
D018124,총각김치,김치류,김치,22.89,0.98,0.52,3.57,매운맛,채소류,마늘,무치기
D018125,파김치,김치류,김치,13.32,0.77,0.58,1.26,매운맛,채소류,마늘,무치기
D000087,고들빼기,김치류,김치,55.53,1.58,0.61,10.93,매운맛,해산물,고추장,끓이기
D000097,열무얼갈이김치,김치류,김치,17.68,1.07,0.33,2.61,매운맛,채소류,설탕,무치기
D018598,무염 겉절이,김치류,김치,11.96,0.45,0.01,2.53,담백한맛,채소류,마늘,무치기
D018599,저염 겉절이,김치류,김치,13.11,0.72,0.23,2.05,짠맛,채소류,마늘,무치기
D018600,고구마 김치,김치류,김치,95.86,0.91,0.27,22.44,매운맛,채소류,청주,무치기
D018601,배 깍두기,김치류,김치,31.66,0.72,0.39,6.33,매운맛,과일류,마늘,무치기
D018602,콜라비 깍두기,김치류,김치,40.67,2.07,0.88,6.12,매운맛,채소류,마늘,무치기
D018603,비타 오이 물김치,김치류,김치,13.46,0.34,0.02,2.99,신맛,채소류,설탕,무치기
D018604,무말랭이 김치,김치류,김치,10.86,0.14,0,2.56,매운맛,채소류,마늘,무치기
D018053,갈비탕,국 및 탕류,육류국.탕,363.24,57,13.83,2.68,담백한맛,가금류 이외 육류,대파,끓이기
D018054,감자된장국,국 및 탕류,채소류국.탕,98.19,4.34,2.41,14.78,담백한맛,채소류,마늘,끓이기
D018055,감잣국,국 및 탕류,채소류국.탕,82.47,3.59,1.05,14.67,담백한맛,채소류,감자,끓이기
D018056,곰탕,국 및 탕류,육류국.탕,145.15,20.57,6.69,0.66,담백한맛,가금류 이외 육류,대파,끓이기
D018057,굴무국,국 및 탕류,어패류국.탕,123.09,12.04,1.82,14.63,담백한맛,해산물,무,끓이기
D018058,근대된장국,국 및 탕류,채소류국.탕,38.84,3.49,1.56,2.71,담백한맛,채소류,마늘,끓이기
D018059,김치콩나물국,국 및 탕류,채소류국.탕,48.33,3.27,1.86,4.61,매운맛,채소류,마늘,끓이기
D018060,김칫국,국 및 탕류,채소류국.탕,90.78,5.36,3.03,10.52,신맛,채소류,다시마,끓이기
D018061,꼬리곰탕,국 및 탕류,육류국.탕,135.9,22.51,3.22,4.23,담백한맛,가금류 이외 육류,파,끓이기
D018062,냉이된장국,국 및 탕류,채소류국.탕,86.47,6.85,2.65,8.81,담백한맛,나물류,냉이,끓이기
D018063,달걀국,국 및 탕류,기타 국류,52.37,3.73,2.94,2.74,담백한맛,계란,파,끓이기
D018064,닭개장,국 및 탕류,육류국.탕,142.98,19.17,2.97,9.88,매운맛,커피,대파,끓이기
D018065,닭곰탕,국 및 탕류,육류국.탕,330.4,48.8,9.24,13.01,담백한맛,커피,마늘,끓이기
D018066,대합미역국,국 및 탕류,어패류국.탕,44.84,4.93,1.8,2.24,담백한맛,해산물,마늘,끓이기
D018067,도가니탕,국 및 탕류,육류국.탕,198.17,41.76,1.63,4.1,담백한맛,가금류 이외 육류,대파,끓이기
D018068,동태국,국 및 탕류,어패류국.탕,66.87,9.66,0.64,5.61,매운맛,해산물,무,끓이기
D018069,메밀묵국,국 및 탕류,기타 국류,87.38,3.99,1.59,14.26,담백한맛,곡물,무,끓이기
D018070,무시래기된장국,국 및 탕류,채소류국.탕,61.11,5.22,0.86,8.11,담백한맛,나물류,무,끓이기
D018071,미역국,국 및 탕류,어패류국.탕,46.36,2.58,2.45,3.49,담백한맛,해조류,다시미,끓이기
D018072,미역냉국,국 및 탕류,냉국류,128.81,0.66,2.34,26.28,담백한맛,해조류,소금,끓이기
D018073,미역된장국,국 및 탕류,어패류국.탕,96.16,6.25,3.86,9.1,담백한맛,해조류,마늘,끓이기
D018074,미역오이냉국,국 및 탕류,냉국류,21.8,1.31,0.52,2.98,신맛,해조류,마늘,끓이기
D018075,배추된장국,국 및 탕류,채소류국.탕,79.08,5.85,1.6,10.33,담백한맛,채소류,마늘,끓이기
D018076,북엇국,국 및 탕류,어패류국.탕,111.03,15.56,3.93,3.36,담백한맛,가금류 이외 육류,무,끓이기
D018077,뼈해장국,국 및 탕류,육류국.탕,206.01,25.55,7.77,8.46,매운맛,가금류 이외 육류,파,끓이기
D018078,사골국,국 및 탕류,육류국.탕,220.99,22.25,9.67,11.24,담백한맛,가금류 이외 육류,무,끓이기
D018079,삼계탕,국 및 탕류,육류국.탕,911.39,96.09,43.19,34.57,담백한맛,커피,대추,끓이기
D018080,새우미역국,국 및 탕류,어패류국.탕,63.22,4.35,1.84,7.31,담백한맛,해산물,마늘,끓이기
D018081,새우탕,국 및 탕류,어패류국.탕,163.1,25.84,2.19,10,담백한맛,해산물,파,끓이기
D018082,선짓국(선지해장국),국 및 탕류,육류국.탕,173.84,23.18,5.73,7.39,담백한맛,가금류 이외 육류,대파,끓이기
D018083,설렁탕,국 및 탕류,육류국.탕,118.37,21.3,2.88,1.8,담백한맛,가금류 이외 육류,파,끓이기
D018084,쇠고기무국,국 및 탕류,육류국.탕,61.53,5.3,2.54,4.38,담백한맛,가금류 이외 육류,무,끓이기
D018085,쇠고기미역국,국 및 탕류,육류국.탕,52.03,7.42,1.03,3.28,담백한맛,가금류 이외 육류,파,끓이기
D018086,쇠고기배춧국,국 및 탕류,육류국.탕,62.29,7.34,1.63,4.57,담백한맛,가금류 이외 육류,마늘,끓이기
D018087,순댓국,국 및 탕류,육류국.탕,509.46,14.1,10.47,89.71,담백한맛,가금류 이외 육류,무,끓이기
D018088,순두부달걀탕,국 및 탕류,기타 국류,102.39,6.23,7.14,3.29,매운맛,두부,파,끓이기
D018089,시금치된장국,국 및 탕류,채소류국.탕,37.98,4.07,0.67,3.91,담백한맛,나물류,마늘,끓이기
D018090,쑥된장국,국 및 탕류,채소류국.탕,60.64,4.88,1.87,6.08,담백한맛,채소류,마늘,끓이기
D018091,아욱된장국,국 및 탕류,채소류국.탕,81.83,9.1,2.23,6.34,담백한맛,나물류,무,끓이기
D018092,애호박된장국,국 및 탕류,채소류국.탕,122.91,13.35,5.23,5.62,담백한맛,채소류,된장,끓이기
D018093,어묵국,국 및 탕류,어패류국.탕,106.95,5.2,3.61,13.41,담백한맛,해산물,대파,끓이기
D018094,얼갈이배춧국,국 및 탕류,채소류국.탕,36.23,2,1.62,3.41,담백한맛,채소류,마늘,끓이기
D018095,오이냉국,국 및 탕류,냉국류,38.17,1.47,2.4,2.67,담백한맛,채소류,마늘,끓이기
D018096,오징어국,국 및 탕류,어패류국.탕,91.91,11.1,3.67,3.63,담백한맛,해산물,파,끓이기
D018097,우거지곰탕,국 및 탕류,채소류국.탕,88.55,8.29,2.1,9.11,담백한맛,채소류,대파,끓이기
D018098,우거지된장국,국 및 탕류,채소류국.탕,78.61,11.08,2.35,3.29,담백한맛,채소류,대파,끓이기
D018099,육개장,국 및 탕류,육류국.탕,130.33,16.21,4.37,6.54,매운맛,가금류 이외 육류,무,끓이기
D018100,일본된장국,국 및 탕류,채소류국.탕,20.6,1.42,1.46,0.45,담백한맛,장류,두부,끓이기
D018101,재첩국,국 및 탕류,어패류국.탕,81.91,2.33,1,15.9,담백한맛,해산물,마늘,끓이기
D018102,조갯국,국 및 탕류,어패류국.탕,62.72,6.67,3.57,0.99,담백한맛,해산물,파,끓이기
D018103,콩나물국,국 및 탕류,채소류국.탕,24.66,2.95,0.35,2.44,담백한맛,나물류,마늘,끓이기
D018104,콩나물된장국,국 및 탕류,채소류국.탕,123.17,10.31,4.45,10.46,담백한맛,나물류,마늘,끓이기
D018105,토란국,국 및 탕류,채소류국.탕,62.09,4.01,0.49,10.42,담백한맛,채소류,마늘,끓이기
D018106,해물된장국,국 및 탕류,어패류국.탕,111.58,8.38,3.9,10.73,짠맛,해산물,무,끓이기
D018107,호박잎된장국,국 및 탕류,채소류국.탕,23.1,1.41,1.11,1.88,담백한맛,채소류,마늘,끓이기
D018108,홍합무국,국 및 탕류,어패류국.탕,87.05,2.76,7.11,3,담백한맛,해산물,마늘,끓이기
D018160,떡국,국 및 탕류,기타 국류,588.01,24.01,3.74,114.57,담백한맛,쌀,파,끓이기
D018162,떡만두국,국 및 탕류,기타 국류,666.99,21.18,23.44,92.83,담백한맛,쌀,파,끓이기
D018174,사골만두국,국 및 탕류,육류국.탕,606.93,26.19,27.97,62.6,담백한맛,가금류 이외 육류,만두,끓이기
D018809,알곤이탕,국 및 탕류,어패류국.탕,78,10,1.7,5,담백한맛,해산물,마늘,끓이기
D018831,무청시래기국,국 및 탕류,채소류국.탕,45,4,1.3,5,담백한맛,채소류,마늘,끓이기
D018832,대구뽈탕,국 및 탕류,어패류국.탕,65,10,0.9,4,담백한맛,해산물,마늘,끓이기
D018865,마라탕,국 및 탕류,탕류,178,9,10,13,매운맛,쌀,표고버섯,끓이기
D018893,<더 이지>돈사골 순대국,국 및 탕류,기타 국류,179,5,7,24,담백한맛,가금류 이외 육류,파,끓이기
D018895,<더 이지>속풀이 황태진국,국 및 탕류,어패류국.탕,329,14,0.9,66,담백한맛,해산물,마늘,끓이기
D018896,<더 이지>속깊은 소고기 무국,국 및 탕류,육류국.탕,79,7,2.5,6,담백한맛,가금류 이외 육류,무,끓이기
D018903,<구구스>사천마라탕,국 및 탕류,탕류,133,8,5,14,매운맛,마라,버섯,끓이기
D018915,<파빌리온>설악황태진국,국 및 탕류,어패류국.탕,90,8,6,1,담백한맛,해산물,무,끓이기
D000028,게국지,국 및 탕류,어패류국.탕,415.25,44.9,12.1,31.7,담백한맛,해산물,무,끓이기
D000029,곰치국,국 및 탕류,어패류국.탕,419.29,54.3,11.8,23.9,담백한맛,해산물,대파,끓이기
D000030,굴국밥,국 및 탕류,어패류국.탕,683,42.4,17.8,88.4,담백한맛,해산물,미역,끓이기
D000032,김치국,국 및 탕류,채소류국.탕,89,5.4,2.8,10.5,매운맛,채소류,두부,끓이기
D000036,떡만둣국,국 및 탕류,기타 국류,624.92,20.06,11.32,110.71,담백한맛,쌀,마늘,끓이기
D000037,만둣국,국 및 탕류,기타 국류,434.05,21.43,17.44,47.83,담백한맛,가금류 이외 육류,김치,끓이기
D000038,맑은감자국,국 및 탕류,채소류국.탕,221,8.3,5.5,34.6,담백한맛,채소류,파,끓이기
D000039,매생이국,국 및 탕류,어패류국.탕,119,10,2.8,13.4,매운맛,해조류,대파,끓이기
D000040,무된장국,국 및 탕류,채소류국.탕,104,6.1,2.4,14.7,담백한맛,채소류,무,끓이기
D000041,미소된장국,국 및 탕류,채소류국.탕,38,2.8,1.8,2.8,담백한맛,장류,두부,끓이기
D000044,바지락조개국,국 및 탕류,어패류국.탕,157,22,3.1,10.1,매운맛,해산물,대파,끓이기
D000046,뼈다귀해장국,국 및 탕류,육류국.탕,714,74.6,35.7,23.4,짠맛,가금류 이외 육류,파,끓이기
D000047,선지해장국,국 및 탕류,육류국.탕,312,49.3,5.4,16.7,담백한맛,가금류 이외 육류,대파,끓이기
D000049,소고기무국,국 및 탕류,육류국.탕,123,14.2,4,7.8,담백한맛,가금류 이외 육류,대파,끓이기
D000054,시래기된장국,국 및 탕류,채소류국.탕,99,6.7,3.1,11,담백한맛,채소류,마늘,끓이기
D000060,올갱이국,국 및 탕류,어패류국.탕,144.26,13.7,4.2,13,담백한맛,해산물,파,끓이기
D000062,우거지해장국,국 및 탕류,채소류국.탕,154.38,11.9,5.9,13.5,매운맛,채소류,무,끓이기
D000063,우렁된장국,국 및 탕류,어패류국.탕,245,24.6,7.7,19.2,담백한맛,해산물,무,끓이기
D000066,홍합미역국,국 및 탕류,어패류국.탕,167,19.7,4.7,11.6,담백한맛,해산물,마늘,끓이기
D000067,황태해장국,국 및 탕류,어패류국.탕,181.7,24.5,6.8,5.7,담백한맛,해산물,무,끓이기
D000081,초당순두부,국 및 탕류,채소류국.탕,522.69,49.1,29.2,15.8,매운맛,두부,파,끓이기
D000432,곰탕,국 및 탕류,육류국.탕,183.25,19.4,3.7,18.1,담백한맛,가금류 이외 육류,파,끓이기
D000433,광어매운탕,국 및 탕류,어패류국.탕,419.79,58.42,16.62,9.13,매운맛,해산물,대파,끓이기
D000436,낙지탕,국 및 탕류,어패류국.탕,187.8,29.4,3.2,10.4,매운맛,해산물,파,끓이기
D000440,대구매운탕,국 및 탕류,어패류국.탕,361.75,57.36,7.21,16.84,매운맛,해산물,무,끓이기
D000441,대구지리탕,국 및 탕류,어패류국.탕,262.02,41.6,6.2,9.9,담백한맛,해산물,대파,끓이기
D000443,메기매운탕,국 및 탕류,어패류국.탕,400,28.6,10.2,48.6,매운맛,해산물,파,끓이기
D000444,복지리탕,국 및 탕류,어패류국.탕,232.05,41.7,2.7,10.3,담백한맛,가금류 이외 육류,대파,끓이기
D000447,소탕,국 및 탕류,육류국.탕,86.37,7.66,5.35,1.9,담백한맛,가금류 이외 육류,파,끓이기
D000448,아구탕,국 및 탕류,어패류국.탕,246.07,37.8,4.9,12.8,담백한맛,해산물,무,끓이기
D000450,어탕,국 및 탕류,어패류국.탕,85.87,12.7,3.09,1.82,담백한맛,해산물,무,끓이기
D000451,연포탕,국 및 탕류,어패류국.탕,541.64,94.9,9.03,20.19,담백한맛,해산물,마늘,끓이기
D000453,우럭매운탕,국 및 탕류,어패류국.탕,406.82,52.15,17.03,11.24,매운맛,해산물,무,끓이기
D000456,전복탕,국 및 탕류,어패류국.탕,196.85,26.8,3,15.8,담백한맛,해산물,다시미,끓이기
D000457,조기매운탕,국 및 탕류,어패류국.탕,384.38,35.1,19.4,17.3,매운맛,해산물,파,끓이기
D000458,짱뚱어탕,국 및 탕류,어패류국.탕,188.77,11.5,8.5,16.6,담백한맛,해산물,양파,끓이기
D000460,추어탕,국 및 탕류,어패류국.탕,316.72,22.7,13.2,26.8,담백한맛,해산물,대파,끓이기
D000461,해물탕,국 및 탕류,어패류국.탕,267.81,39.8,4.7,16.6,매운맛,해산물,파,끓이기
D018562,바지락맑은국,국 및 탕류,어패류국.탕,46.89,3.93,0.02,7.76,담백한맛,해산물,파,끓이기
D018563,바지락 미역국,국 및 탕류,어패류국.탕,53.5,8.01,0.56,4.1,담백한맛,해조류,다시미,끓이기
D018564,북어 무국,국 및 탕류,어패류국.탕,56.32,8.43,0.59,4.32,담백한맛,해산물,무,끓이기
D018565,소고기 무국,국 및 탕류,육류국.탕,46.5,6.49,0.77,3.42,담백한맛,가금류 이외 육류,무,끓이기
D018566,홍합 배춧국,국 및 탕류,채소류국.탕,23.07,2.01,0.72,2.14,짠맛,해산물,마늘,끓이기
D018567,미역 미소국,국 및 탕류,어패류국.탕,14.34,1.12,0.04,2.38,담백한맛,해조류,다시마,끓이기
D018568,토마토 미소된장국,국 및 탕류,채소류국.탕,46.85,3.43,1.33,5.29,담백한맛,채소류,대파,끓이기
D018569,닭곰탕,국 및 탕류,육류국.탕,89.36,17.88,0.12,4.2,담백한맛,커피,대파,끓이기
D018570,소고기 들깨 알토란탕,국 및 탕류,육류국.탕,146.42,7.57,5.17,17.4,담백한맛,가금류 이외 육류,무,끓이기
D018571,코다리 뿌리채소 들깨탕,국 및 탕류,어패류국.탕,93.33,14.75,2.2,3.64,담백한맛,해산물,들깨,끓이기
D018127,가지나물무침,숙채류,나물.숙채류,17.95,0.71,0.75,2.09,매운맛,채소류,마늘,무치기
D018128,건취나물무침,숙채류,나물.숙채류,44.4,1.81,2.7,3.2,매운맛,나물류,마늘,무치기
D018129,고구마줄기나물무침,숙채류,나물.숙채류,41.64,0.49,3.5,2.05,담백한맛,채소류,간장,무치기
D018130,고사리나물무침,숙채류,나물.숙채류,44.97,1.89,2.76,3.14,짠맛,나물류,간장,무치기
